common_name,scientific_name,url,habitats,image_url,image_file,slug,page_text
Florida Museum,,https://www.floridamuseum.ufl.edu/discover-fish/florida-fishes-gallery/?_sft_habitat=coastal&lang=en,Coastal,,,florida-museum-florida-fishes-gallery-1a34d3a1,"This searchable gallery includes 220 entries of Florida freshwater fishes, each with a live image, key characteristics for field identification and habitat description.

The Flagfish, included in this gallery, is one of three freshwater species native only to Florida. Florida Museum photo by Zachary Randall

The information is based on the “Fishes in the Fresh Waters of Florida” guide and atlas written by Florida Museum ichthyologists and published by the University Press of Florida in 2018. This book is available for purchase on the UPF website, and includes dot distribution maps and comparisons to similar species.

Use the search field below for specific inquiries, or sort fish based on families, key features, region, status or specific drainages in which species are found. Or, browse all species below.

All images subject to copyright. Non-Florida Museum photographers must be contacted directly for permission to use their images.

search for fishes
search fish families
All Families
American Soles (Achiridae)  (1)
Anchovies (Engraulidae)  (1)
Centropomidae (Snooks)  (4)
Cichlids and Tilapias (Cichlidae)  (1)
Drums and Croakers (Sciaenidae)  (5)
Gobies (Gobiidae)  (6)
Herrings (Clupeidae)  (2)
Mojarras (Gerreidae)  (3)
Mullets (Mugilidae)  (2)
Needlefishes (Belonidae)  (3)
New World Rivulines (Cynolebiidae)  (1)
New World Silversides (Atherinopsidae)  (1)
Pipefishes and seahorses (Syngnathidae)  (1)
Porgies (Sparidae)  (2)
Pupfishes (Cyprinodontidae)  (1)
Sand Flounders (Paralichthyidae)  (2)
Sea Catfishes (Ariidae)  (2)
Sleepers (Eleotridae)  (3)
Snake Eels (Ophichthidae)  (1)
Snappers (Lutjanidae)  (1)
Tarpons (Megalopidae)  (1)
Tenpounders (Elopidae)  (1)
Topminnows (Fundulidae)  (5)
Whiptail Stingrays (Dasyatidae)  (1)
search fish habitats
All Habitats
Anadromous  (1)
Coastal  (51)
Diadromous  (12)
Flowing freshwater  (72)
Non-flowing freshwater  (88)
search fish features
All Features
Arched body  (3)
Barbels  (2)
Black stripe  (1)
Compressed body  (5)
Cylindrical body  (1)
Deep body  (6)
Eel-like  (2)
Elongate body  (8)
Flattened body  (4)
Semi-transparent  (1)
Two dorsal fins  (15)
Upturned mouth  (3)
search fish regions
All Regions
Peninsula drainages  (1)
South Florida  (45)
the Atlantic Coast  (46)
the Gulf Coast  (33)
Western and North Central Florida drainages  (31)
search fish status
All Status
Marine invader  (50)
Non-indigenous freshwater  (1)
search fish drainages
All Drainages
Everglades  (1)
Indian River  (1)
Tampa Bay  (1)
RESET

Found 51 Results

Hogchoker
Southern Flounder
Clown Goby
Crested Goby
Naked Goby
Violet Goby
Lyre Goby
Freshwater Goby
Bigmouth Sleeper
Largescale Spinycheek Sleeper
Fat Sleeper
Blackchin Tilapia"
Florida Museum,,https://www.floridamuseum.ufl.edu/discover-fish/florida-fishes-gallery/?_sft_habitat=coastal&lang=en&sf_paged=2,Coastal,,,florida-museum-florida-fishes-gallery-2ab0b410,"This searchable gallery includes 220 entries of Florida freshwater fishes, each with a live image, key characteristics for field identification and habitat description.

The Flagfish, included in this gallery, is one of three freshwater species native only to Florida. Florida Museum photo by Zachary Randall

The information is based on the “Fishes in the Fresh Waters of Florida” guide and atlas written by Florida Museum ichthyologists and published by the University Press of Florida in 2018. This book is available for purchase on the UPF website, and includes dot distribution maps and comparisons to similar species.

Use the search field below for specific inquiries, or sort fish based on families, key features, region, status or specific drainages in which species are found. Or, browse all species below.

All images subject to copyright. Non-Florida Museum photographers must be contacted directly for permission to use their images.

search for fishes
search fish families
All Families
American Soles (Achiridae)  (1)
Anchovies (Engraulidae)  (1)
Centropomidae (Snooks)  (4)
Cichlids and Tilapias (Cichlidae)  (1)
Drums and Croakers (Sciaenidae)  (5)
Gobies (Gobiidae)  (6)
Herrings (Clupeidae)  (2)
Mojarras (Gerreidae)  (3)
Mullets (Mugilidae)  (2)
Needlefishes (Belonidae)  (3)
New World Rivulines (Cynolebiidae)  (1)
New World Silversides (Atherinopsidae)  (1)
Pipefishes and seahorses (Syngnathidae)  (1)
Porgies (Sparidae)  (2)
Pupfishes (Cyprinodontidae)  (1)
Sand Flounders (Paralichthyidae)  (2)
Sea Catfishes (Ariidae)  (2)
Sleepers (Eleotridae)  (3)
Snake Eels (Ophichthidae)  (1)
Snappers (Lutjanidae)  (1)
Tarpons (Megalopidae)  (1)
Tenpounders (Elopidae)  (1)
Topminnows (Fundulidae)  (5)
Whiptail Stingrays (Dasyatidae)  (1)
search fish habitats
All Habitats
Anadromous  (1)
Coastal  (51)
Diadromous  (12)
Flowing freshwater  (72)
Non-flowing freshwater  (88)
search fish features
All Features
Arched body  (3)
Barbels  (2)
Black stripe  (1)
Compressed body  (5)
Cylindrical body  (1)
Deep body  (6)
Eel-like  (2)
Elongate body  (8)
Flattened body  (4)
Semi-transparent  (1)
Two dorsal fins  (15)
Upturned mouth  (3)
search fish regions
All Regions
Peninsula drainages  (1)
South Florida  (45)
the Atlantic Coast  (46)
the Gulf Coast  (33)
Western and North Central Florida drainages  (31)
search fish status
All Status
Marine invader  (50)
Non-indigenous freshwater  (1)
search fish drainages
All Drainages
Everglades  (1)
Indian River  (1)
Tampa Bay  (1)
RESET

Found 51 Results

Red Drum
Atlantic Croaker
Spotted Seatrout
Spot
Silver Perch
Pinfish
Sheepshead
Striped Mojarra
Tidewater Mojarra
Gray Snapper
Irish Pompano
Common Snook"
Florida Museum,,https://www.floridamuseum.ufl.edu/discover-fish/florida-fishes-gallery/?_sft_habitat=coastal&lang=en&sf_paged=3,Coastal,,,florida-museum-florida-fishes-gallery-799ba09f,"This searchable gallery includes 220 entries of Florida freshwater fishes, each with a live image, key characteristics for field identification and habitat description.

The Flagfish, included in this gallery, is one of three freshwater species native only to Florida. Florida Museum photo by Zachary Randall

The information is based on the “Fishes in the Fresh Waters of Florida” guide and atlas written by Florida Museum ichthyologists and published by the University Press of Florida in 2018. This book is available for purchase on the UPF website, and includes dot distribution maps and comparisons to similar species.

Use the search field below for specific inquiries, or sort fish based on families, key features, region, status or specific drainages in which species are found. Or, browse all species below.

All images subject to copyright. Non-Florida Museum photographers must be contacted directly for permission to use their images.

search for fishes
search fish families
All Families
American Soles (Achiridae)  (1)
Anchovies (Engraulidae)  (1)
Centropomidae (Snooks)  (4)
Cichlids and Tilapias (Cichlidae)  (1)
Drums and Croakers (Sciaenidae)  (5)
Gobies (Gobiidae)  (6)
Herrings (Clupeidae)  (2)
Mojarras (Gerreidae)  (3)
Mullets (Mugilidae)  (2)
Needlefishes (Belonidae)  (3)
New World Rivulines (Cynolebiidae)  (1)
New World Silversides (Atherinopsidae)  (1)
Pipefishes and seahorses (Syngnathidae)  (1)
Porgies (Sparidae)  (2)
Pupfishes (Cyprinodontidae)  (1)
Sand Flounders (Paralichthyidae)  (2)
Sea Catfishes (Ariidae)  (2)
Sleepers (Eleotridae)  (3)
Snake Eels (Ophichthidae)  (1)
Snappers (Lutjanidae)  (1)
Tarpons (Megalopidae)  (1)
Tenpounders (Elopidae)  (1)
Topminnows (Fundulidae)  (5)
Whiptail Stingrays (Dasyatidae)  (1)
search fish habitats
All Habitats
Anadromous  (1)
Coastal  (51)
Diadromous  (12)
Flowing freshwater  (72)
Non-flowing freshwater  (88)
search fish features
All Features
Arched body  (3)
Barbels  (2)
Black stripe  (1)
Compressed body  (5)
Cylindrical body  (1)
Deep body  (6)
Eel-like  (2)
Elongate body  (8)
Flattened body  (4)
Semi-transparent  (1)
Two dorsal fins  (15)
Upturned mouth  (3)
search fish regions
All Regions
Peninsula drainages  (1)
South Florida  (45)
the Atlantic Coast  (46)
the Gulf Coast  (33)
Western and North Central Florida drainages  (31)
search fish status
All Status
Marine invader  (50)
Non-indigenous freshwater  (1)
search fish drainages
All Drainages
Everglades  (1)
Indian River  (1)
Tampa Bay  (1)
RESET

Found 51 Results

Tarpon Snook
Fat Snook
Swordspine Snook
Gulf Pipefish
Sheepshead Minnow
Rainwater Killifish
Diamond Killifish
Longnose Killifish
Gulf Killifish
Marsh Killifish
Mangrove Rivulus
Timucú"
Florida Museum,,https://www.floridamuseum.ufl.edu/discover-fish/florida-fishes-gallery/?_sft_habitat=coastal&lang=en&sf_paged=4,Coastal,,,florida-museum-florida-fishes-gallery-d3b4f98c,"This searchable gallery includes 220 entries of Florida freshwater fishes, each with a live image, key characteristics for field identification and habitat description.

The Flagfish, included in this gallery, is one of three freshwater species native only to Florida. Florida Museum photo by Zachary Randall

The information is based on the “Fishes in the Fresh Waters of Florida” guide and atlas written by Florida Museum ichthyologists and published by the University Press of Florida in 2018. This book is available for purchase on the UPF website, and includes dot distribution maps and comparisons to similar species.

Use the search field below for specific inquiries, or sort fish based on families, key features, region, status or specific drainages in which species are found. Or, browse all species below.

All images subject to copyright. Non-Florida Museum photographers must be contacted directly for permission to use their images.

search for fishes
search fish families
All Families
American Soles (Achiridae)  (1)
Anchovies (Engraulidae)  (1)
Centropomidae (Snooks)  (4)
Cichlids and Tilapias (Cichlidae)  (1)
Drums and Croakers (Sciaenidae)  (5)
Gobies (Gobiidae)  (6)
Herrings (Clupeidae)  (2)
Mojarras (Gerreidae)  (3)
Mullets (Mugilidae)  (2)
Needlefishes (Belonidae)  (3)
New World Rivulines (Cynolebiidae)  (1)
New World Silversides (Atherinopsidae)  (1)
Pipefishes and seahorses (Syngnathidae)  (1)
Porgies (Sparidae)  (2)
Pupfishes (Cyprinodontidae)  (1)
Sand Flounders (Paralichthyidae)  (2)
Sea Catfishes (Ariidae)  (2)
Sleepers (Eleotridae)  (3)
Snake Eels (Ophichthidae)  (1)
Snappers (Lutjanidae)  (1)
Tarpons (Megalopidae)  (1)
Tenpounders (Elopidae)  (1)
Topminnows (Fundulidae)  (5)
Whiptail Stingrays (Dasyatidae)  (1)
search fish habitats
All Habitats
Anadromous  (1)
Coastal  (51)
Diadromous  (12)
Flowing freshwater  (72)
Non-flowing freshwater  (88)
search fish features
All Features
Arched body  (3)
Barbels  (2)
Black stripe  (1)
Compressed body  (5)
Cylindrical body  (1)
Deep body  (6)
Eel-like  (2)
Elongate body  (8)
Flattened body  (4)
Semi-transparent  (1)
Two dorsal fins  (15)
Upturned mouth  (3)
search fish regions
All Regions
Peninsula drainages  (1)
South Florida  (45)
the Atlantic Coast  (46)
the Gulf Coast  (33)
Western and North Central Florida drainages  (31)
search fish status
All Status
Marine invader  (50)
Non-indigenous freshwater  (1)
search fish drainages
All Drainages
Everglades  (1)
Indian River  (1)
Tampa Bay  (1)
RESET

Found 51 Results

Redfin Needlefish
Atlantic Needlefish
Rough Silverside
White Mullet
Striped Mullet
Gafftopsail Catfish
Hardhead Catfish
Atlantic Menhaden
Yellowfin Menhaden
Bay Anchovy
Tarpon
Ladyfish"
Florida Museum,,https://www.floridamuseum.ufl.edu/discover-fish/florida-fishes-gallery/?_sft_habitat=coastal&lang=en&sf_paged=5,Coastal,,,florida-museum-florida-fishes-gallery-62dbb863,"This searchable gallery includes 220 entries of Florida freshwater fishes, each with a live image, key characteristics for field identification and habitat description.

The Flagfish, included in this gallery, is one of three freshwater species native only to Florida. Florida Museum photo by Zachary Randall

The information is based on the “Fishes in the Fresh Waters of Florida” guide and atlas written by Florida Museum ichthyologists and published by the University Press of Florida in 2018. This book is available for purchase on the UPF website, and includes dot distribution maps and comparisons to similar species.

Use the search field below for specific inquiries, or sort fish based on families, key features, region, status or specific drainages in which species are found. Or, browse all species below.

All images subject to copyright. Non-Florida Museum photographers must be contacted directly for permission to use their images.

search for fishes
search fish families
All Families
American Soles (Achiridae)  (1)
Anchovies (Engraulidae)  (1)
Centropomidae (Snooks)  (4)
Cichlids and Tilapias (Cichlidae)  (1)
Drums and Croakers (Sciaenidae)  (5)
Gobies (Gobiidae)  (6)
Herrings (Clupeidae)  (2)
Mojarras (Gerreidae)  (3)
Mullets (Mugilidae)  (2)
Needlefishes (Belonidae)  (3)
New World Rivulines (Cynolebiidae)  (1)
New World Silversides (Atherinopsidae)  (1)
Pipefishes and seahorses (Syngnathidae)  (1)
Porgies (Sparidae)  (2)
Pupfishes (Cyprinodontidae)  (1)
Sand Flounders (Paralichthyidae)  (2)
Sea Catfishes (Ariidae)  (2)
Sleepers (Eleotridae)  (3)
Snake Eels (Ophichthidae)  (1)
Snappers (Lutjanidae)  (1)
Tarpons (Megalopidae)  (1)
Tenpounders (Elopidae)  (1)
Topminnows (Fundulidae)  (5)
Whiptail Stingrays (Dasyatidae)  (1)
search fish habitats
All Habitats
Anadromous  (1)
Coastal  (51)
Diadromous  (12)
Flowing freshwater  (72)
Non-flowing freshwater  (88)
search fish features
All Features
Arched body  (3)
Barbels  (2)
Black stripe  (1)
Compressed body  (5)
Cylindrical body  (1)
Deep body  (6)
Eel-like  (2)
Elongate body  (8)
Flattened body  (4)
Semi-transparent  (1)
Two dorsal fins  (15)
Upturned mouth  (3)
search fish regions
All Regions
Peninsula drainages  (1)
South Florida  (45)
the Atlantic Coast  (46)
the Gulf Coast  (33)
Western and North Central Florida drainages  (31)
search fish status
All Status
Marine invader  (50)
Non-indigenous freshwater  (1)
search fish drainages
All Drainages
Everglades  (1)
Indian River  (1)
Tampa Bay  (1)
RESET

Found 51 Results

Speckled Worm Eel
Bay Whiff
Atlantic Stingray"
Florida Museum,,https://www.floridamuseum.ufl.edu/discover-fish/florida-fishes-gallery/?_sft_habitat=flowing-freshwater&lang=en,Flowing freshwater,,,florida-museum-florida-fishes-gallery-bd74e548,"This searchable gallery includes 220 entries of Florida freshwater fishes, each with a live image, key characteristics for field identification and habitat description.

The Flagfish, included in this gallery, is one of three freshwater species native only to Florida. Florida Museum photo by Zachary Randall

The information is based on the “Fishes in the Fresh Waters of Florida” guide and atlas written by Florida Museum ichthyologists and published by the University Press of Florida in 2018. This book is available for purchase on the UPF website, and includes dot distribution maps and comparisons to similar species.

Use the search field below for specific inquiries, or sort fish based on families, key features, region, status or specific drainages in which species are found. Or, browse all species below.

All images subject to copyright. Non-Florida Museum photographers must be contacted directly for permission to use their images.

search for fishes
search fish families
All Families
Cichlids and Tilapias (Cichlidae)  (4)
Featherfin Knifefishes (Notopteridae)  (1)
Herrings (Clupeidae)  (3)
Labyrinth Catfishes (Clariidae)  (1)
Lampreys (Petromyzontidae)  (1)
Minnows; shiners; chubs (Leuciscidae)  (21)
New World Silversides (Atherinopsidae)  (1)
North American Catfishes (Ictaluridae)  (7)
Perches and Darters (Percidae)  (16)
Suckermouth Armored Catfishes (Loricariidae)  (2)
Suckers (Catostomidae)  (7)
Sunfishes (Centrarchidae)  (7)
Topminnows (Fundulidae)  (1)
search fish habitats
All Habitats
Anadromous  (1)
Coastal  (51)
Diadromous  (12)
Flowing freshwater  (72)
Non-flowing freshwater  (88)
search fish features
All Features
Armored body  (2)
Barbels  (8)
Black stripe  (10)
Compressed body  (4)
Deep body  (14)
Diamond-shaped scales  (3)
Eel-like  (1)
Elongate body  (4)
Large lips  (3)
Semi-transparent  (5)
Small scales  (1)
Spotted  (1)
Two dorsal fins  (15)
Upturned mouth  (1)
search fish regions
All Regions
Peninsula drainages  (21)
Western and North Central Florida drainages  (65)
search fish status
All Status
Native freshwater  (56)
Non-indigenous freshwater  (16)
search fish drainages
All Drainages
Apalachicola River  (40)
Blackwater River  (29)
Caloosahatchee River  (8)
Choctawhatchee River  (41)
Econfina Creek  (21)
Escambia River  (48)
Everglades  (13)
Indian River  (8)
Lake Okeechobee  (10)
minor Gulf tributaries  (15)
Myakka/Peace River  (9)
Ochlockonee River  (24)
Perdido River  (31)
St. John's River  (16)
St. Mary's River  (5)
Suwannee River  (20)
Tampa Bay  (12)
Tolomato/Matanzas River  (7)
Withlacoochee River  (8)
Yellow River  (34)
RESET

Found 72 Results

Nile Tilapia
Mozambique Tilapia
Blue Tilapia
Midas Cichlid
Saddleback Darter
Blackbanded Darter
Southern Logperch
Backwater Darter
Gulf Darter
Speckled Darter
Cypress Darter
Tessellated Darter"
Florida Museum,,https://www.floridamuseum.ufl.edu/discover-fish/florida-fishes-gallery/?_sft_habitat=flowing-freshwater&lang=en&sf_paged=2,Flowing freshwater,,,florida-museum-florida-fishes-gallery-785e1e23,"This searchable gallery includes 220 entries of Florida freshwater fishes, each with a live image, key characteristics for field identification and habitat description.

The Flagfish, included in this gallery, is one of three freshwater species native only to Florida. Florida Museum photo by Zachary Randall

The information is based on the “Fishes in the Fresh Waters of Florida” guide and atlas written by Florida Museum ichthyologists and published by the University Press of Florida in 2018. This book is available for purchase on the UPF website, and includes dot distribution maps and comparisons to similar species.

Use the search field below for specific inquiries, or sort fish based on families, key features, region, status or specific drainages in which species are found. Or, browse all species below.

All images subject to copyright. Non-Florida Museum photographers must be contacted directly for permission to use their images.

search for fishes
search fish families
All Families
Cichlids and Tilapias (Cichlidae)  (4)
Featherfin Knifefishes (Notopteridae)  (1)
Herrings (Clupeidae)  (3)
Labyrinth Catfishes (Clariidae)  (1)
Lampreys (Petromyzontidae)  (1)
Minnows; shiners; chubs (Leuciscidae)  (21)
New World Silversides (Atherinopsidae)  (1)
North American Catfishes (Ictaluridae)  (7)
Perches and Darters (Percidae)  (16)
Suckermouth Armored Catfishes (Loricariidae)  (2)
Suckers (Catostomidae)  (7)
Sunfishes (Centrarchidae)  (7)
Topminnows (Fundulidae)  (1)
search fish habitats
All Habitats
Anadromous  (1)
Coastal  (51)
Diadromous  (12)
Flowing freshwater  (72)
Non-flowing freshwater  (88)
search fish features
All Features
Armored body  (2)
Barbels  (8)
Black stripe  (10)
Compressed body  (4)
Deep body  (14)
Diamond-shaped scales  (3)
Eel-like  (1)
Elongate body  (4)
Large lips  (3)
Semi-transparent  (5)
Small scales  (1)
Spotted  (1)
Two dorsal fins  (15)
Upturned mouth  (1)
search fish regions
All Regions
Peninsula drainages  (21)
Western and North Central Florida drainages  (65)
search fish status
All Status
Native freshwater  (56)
Non-indigenous freshwater  (16)
search fish drainages
All Drainages
Apalachicola River  (40)
Blackwater River  (29)
Caloosahatchee River  (8)
Choctawhatchee River  (41)
Econfina Creek  (21)
Escambia River  (48)
Everglades  (13)
Indian River  (8)
Lake Okeechobee  (10)
minor Gulf tributaries  (15)
Myakka/Peace River  (9)
Ochlockonee River  (24)
Perdido River  (31)
St. John's River  (16)
St. Mary's River  (5)
Suwannee River  (20)
Tampa Bay  (12)
Tolomato/Matanzas River  (7)
Withlacoochee River  (8)
Yellow River  (34)
RESET

Found 72 Results

Okaloosa Darter
Harlequin darter
Brown Darter
Choctawhatchee Darter
Coastal Darter
Crystal Darter
Florida Sand Darter
Choctaw Bass
Spotted Bass
Suwannee Bass
Shoal Bass
Longear Sunfish"
Florida Museum,,https://www.floridamuseum.ufl.edu/discover-fish/florida-fishes-gallery/?_sft_habitat=flowing-freshwater&lang=en&sf_paged=3,Flowing freshwater,,,florida-museum-florida-fishes-gallery-7997b7e9,"This searchable gallery includes 220 entries of Florida freshwater fishes, each with a live image, key characteristics for field identification and habitat description.

The Flagfish, included in this gallery, is one of three freshwater species native only to Florida. Florida Museum photo by Zachary Randall

The information is based on the “Fishes in the Fresh Waters of Florida” guide and atlas written by Florida Museum ichthyologists and published by the University Press of Florida in 2018. This book is available for purchase on the UPF website, and includes dot distribution maps and comparisons to similar species.

Use the search field below for specific inquiries, or sort fish based on families, key features, region, status or specific drainages in which species are found. Or, browse all species below.

All images subject to copyright. Non-Florida Museum photographers must be contacted directly for permission to use their images.

search for fishes
search fish families
All Families
Cichlids and Tilapias (Cichlidae)  (4)
Featherfin Knifefishes (Notopteridae)  (1)
Herrings (Clupeidae)  (3)
Labyrinth Catfishes (Clariidae)  (1)
Lampreys (Petromyzontidae)  (1)
Minnows; shiners; chubs (Leuciscidae)  (21)
New World Silversides (Atherinopsidae)  (1)
North American Catfishes (Ictaluridae)  (7)
Perches and Darters (Percidae)  (16)
Suckermouth Armored Catfishes (Loricariidae)  (2)
Suckers (Catostomidae)  (7)
Sunfishes (Centrarchidae)  (7)
Topminnows (Fundulidae)  (1)
search fish habitats
All Habitats
Anadromous  (1)
Coastal  (51)
Diadromous  (12)
Flowing freshwater  (72)
Non-flowing freshwater  (88)
search fish features
All Features
Armored body  (2)
Barbels  (8)
Black stripe  (10)
Compressed body  (4)
Deep body  (14)
Diamond-shaped scales  (3)
Eel-like  (1)
Elongate body  (4)
Large lips  (3)
Semi-transparent  (5)
Small scales  (1)
Spotted  (1)
Two dorsal fins  (15)
Upturned mouth  (1)
search fish regions
All Regions
Peninsula drainages  (21)
Western and North Central Florida drainages  (65)
search fish status
All Status
Native freshwater  (56)
Non-indigenous freshwater  (16)
search fish drainages
All Drainages
Apalachicola River  (40)
Blackwater River  (29)
Caloosahatchee River  (8)
Choctawhatchee River  (41)
Econfina Creek  (21)
Escambia River  (48)
Everglades  (13)
Indian River  (8)
Lake Okeechobee  (10)
minor Gulf tributaries  (15)
Myakka/Peace River  (9)
Ochlockonee River  (24)
Perdido River  (31)
St. John's River  (16)
St. Mary's River  (5)
Suwannee River  (20)
Tampa Bay  (12)
Tolomato/Matanzas River  (7)
Withlacoochee River  (8)
Yellow River  (34)
RESET

Found 72 Results

Orangespotted Sunfish
Shadow Bass
Blackspotted Topminnow
Inland Silverside
Flathead Catfish
Speckled Madtom
Black Madtom
Channel Catfish
Blue Catfish
Spotted Bullhead
Snail Bullhead
Walking Catfish"
Florida Museum,,https://www.floridamuseum.ufl.edu/discover-fish/florida-fishes-gallery/?_sft_habitat=flowing-freshwater&lang=en&sf_paged=4,Flowing freshwater,,,florida-museum-florida-fishes-gallery-5b395b08,"This searchable gallery includes 220 entries of Florida freshwater fishes, each with a live image, key characteristics for field identification and habitat description.

The Flagfish, included in this gallery, is one of three freshwater species native only to Florida. Florida Museum photo by Zachary Randall

The information is based on the “Fishes in the Fresh Waters of Florida” guide and atlas written by Florida Museum ichthyologists and published by the University Press of Florida in 2018. This book is available for purchase on the UPF website, and includes dot distribution maps and comparisons to similar species.

Use the search field below for specific inquiries, or sort fish based on families, key features, region, status or specific drainages in which species are found. Or, browse all species below.

All images subject to copyright. Non-Florida Museum photographers must be contacted directly for permission to use their images.

search for fishes
search fish families
All Families
Cichlids and Tilapias (Cichlidae)  (4)
Featherfin Knifefishes (Notopteridae)  (1)
Herrings (Clupeidae)  (3)
Labyrinth Catfishes (Clariidae)  (1)
Lampreys (Petromyzontidae)  (1)
Minnows; shiners; chubs (Leuciscidae)  (21)
New World Silversides (Atherinopsidae)  (1)
North American Catfishes (Ictaluridae)  (7)
Perches and Darters (Percidae)  (16)
Suckermouth Armored Catfishes (Loricariidae)  (2)
Suckers (Catostomidae)  (7)
Sunfishes (Centrarchidae)  (7)
Topminnows (Fundulidae)  (1)
search fish habitats
All Habitats
Anadromous  (1)
Coastal  (51)
Diadromous  (12)
Flowing freshwater  (72)
Non-flowing freshwater  (88)
search fish features
All Features
Armored body  (2)
Barbels  (8)
Black stripe  (10)
Compressed body  (4)
Deep body  (14)
Diamond-shaped scales  (3)
Eel-like  (1)
Elongate body  (4)
Large lips  (3)
Semi-transparent  (5)
Small scales  (1)
Spotted  (1)
Two dorsal fins  (15)
Upturned mouth  (1)
search fish regions
All Regions
Peninsula drainages  (21)
Western and North Central Florida drainages  (65)
search fish status
All Status
Native freshwater  (56)
Non-indigenous freshwater  (16)
search fish drainages
All Drainages
Apalachicola River  (40)
Blackwater River  (29)
Caloosahatchee River  (8)
Choctawhatchee River  (41)
Econfina Creek  (21)
Escambia River  (48)
Everglades  (13)
Indian River  (8)
Lake Okeechobee  (10)
minor Gulf tributaries  (15)
Myakka/Peace River  (9)
Ochlockonee River  (24)
Perdido River  (31)
St. John's River  (16)
St. Mary's River  (5)
Suwannee River  (20)
Tampa Bay  (12)
Tolomato/Matanzas River  (7)
Withlacoochee River  (8)
Yellow River  (34)
RESET

Found 72 Results

Sailfin Catfishes
Suckermouth Catfish
Apalachicola Redhorse
Blacktail Redhorse
River Redhorse
Spotted Sucker
Sharpfin Chubsucker
Highfin Carpsucker
Quillback
Dixie Chub
Flagfin Shiner
Metallic Shiner"
Florida Museum,,https://www.floridamuseum.ufl.edu/discover-fish/florida-fishes-gallery/?_sft_habitat=flowing-freshwater&lang=en&sf_paged=5,Flowing freshwater,,,florida-museum-florida-fishes-gallery-614060c4,"This searchable gallery includes 220 entries of Florida freshwater fishes, each with a live image, key characteristics for field identification and habitat description.

The Flagfish, included in this gallery, is one of three freshwater species native only to Florida. Florida Museum photo by Zachary Randall

The information is based on the “Fishes in the Fresh Waters of Florida” guide and atlas written by Florida Museum ichthyologists and published by the University Press of Florida in 2018. This book is available for purchase on the UPF website, and includes dot distribution maps and comparisons to similar species.

Use the search field below for specific inquiries, or sort fish based on families, key features, region, status or specific drainages in which species are found. Or, browse all species below.

All images subject to copyright. Non-Florida Museum photographers must be contacted directly for permission to use their images.

search for fishes
search fish families
All Families
Cichlids and Tilapias (Cichlidae)  (4)
Featherfin Knifefishes (Notopteridae)  (1)
Herrings (Clupeidae)  (3)
Labyrinth Catfishes (Clariidae)  (1)
Lampreys (Petromyzontidae)  (1)
Minnows; shiners; chubs (Leuciscidae)  (21)
New World Silversides (Atherinopsidae)  (1)
North American Catfishes (Ictaluridae)  (7)
Perches and Darters (Percidae)  (16)
Suckermouth Armored Catfishes (Loricariidae)  (2)
Suckers (Catostomidae)  (7)
Sunfishes (Centrarchidae)  (7)
Topminnows (Fundulidae)  (1)
search fish habitats
All Habitats
Anadromous  (1)
Coastal  (51)
Diadromous  (12)
Flowing freshwater  (72)
Non-flowing freshwater  (88)
search fish features
All Features
Armored body  (2)
Barbels  (8)
Black stripe  (10)
Compressed body  (4)
Deep body  (14)
Diamond-shaped scales  (3)
Eel-like  (1)
Elongate body  (4)
Large lips  (3)
Semi-transparent  (5)
Small scales  (1)
Spotted  (1)
Two dorsal fins  (15)
Upturned mouth  (1)
search fish regions
All Regions
Peninsula drainages  (21)
Western and North Central Florida drainages  (65)
search fish status
All Status
Native freshwater  (56)
Non-indigenous freshwater  (16)
search fish drainages
All Drainages
Apalachicola River  (40)
Blackwater River  (29)
Caloosahatchee River  (8)
Choctawhatchee River  (41)
Econfina Creek  (21)
Escambia River  (48)
Everglades  (13)
Indian River  (8)
Lake Okeechobee  (10)
minor Gulf tributaries  (15)
Myakka/Peace River  (9)
Ochlockonee River  (24)
Perdido River  (31)
St. John's River  (16)
St. Mary's River  (5)
Suwannee River  (20)
Tampa Bay  (12)
Tolomato/Matanzas River  (7)
Withlacoochee River  (8)
Yellow River  (34)
RESET

Found 72 Results

Sailfin Shiner
Redeye Chub
Apalachee Shiner
Weed Shiner
Longnose Shiner
Dusky Shiner
Ironcolor Shiner
Rough Shiner
Bluehead Chub
Pallid Chub
Blacktip Shiner
Bandfin Shiner"
